SampleID	sampleType	Original_name	New_Diet
D1T4HGR_01	hindgut	IFC_D1_tk4_HGmM01	CTR
D1T4HGR_02	hindgut	IFC_D1_tk4_HGmM02	CTR
D1T4HGR_03	hindgut	IFC_D1_tk4_HGmM03	CTR
D1T4HGR_04	hindgut	IFC_D1_tk4_HGmM04	CTR
D1T4HGR_05	hindgut	IFC_D1_tk4_HGmM05	CTR
D1T4HGR_06	hindgut	IFC_D1_tk4_HGmM06	CTR
D3T5HGR_01	hindgut	IFC_D3_tk5_HGmM01	4%MN3
D3T5HGR_02	hindgut	IFC_D3_tk5_HGmM02	4%MN3
D3T5HGR_03	hindgut	IFC_D3_tk5_HGmM03	4%MN3
D3T5HGR_04	hindgut	IFC_D3_tk5_HGmM04	4%MN3
D3T5HGR_05	hindgut	IFC_D3_tk5_HGmM05	4%MN3
D3T5HGR_06	hindgut	IFC_D3_tk5_HGmM06	4%MN3
D1T6HGR_01	hindgut	IFC_D1_tk6_HGmM01	CTR
D1T6HGR_02	hindgut	IFC_D1_tk6_HGmM02	CTR
D1T6HGR_03	hindgut	IFC_D1_tk6_HGmM03	CTR
D1T6HGR_04	hindgut	IFC_D1_tk6_HGmM04	CTR
D1T6HGR_05	hindgut	IFC_D1_tk6_HGmM05	CTR
D1T6HGR_06	hindgut	IFC_D1_tk6_HGmM06	CTR
D3T7HGR_01	hindgut	IFC_D3_tk7_HGmM01	4%MN3
D3T7HGR_02	hindgut	IFC_D3_tk7_HGmM02	4%MN3
D3T7HGR_03	hindgut	IFC_D3_tk7_HGmM03	4%MN3
D3T7HGR_04	hindgut	IFC_D3_tk7_HGmM04	4%MN3
D3T7HGR_05	hindgut	IFC_D3_tk7_HGmM05	4%MN3
D3T7HGR_06	hindgut	IFC_D3_tk7_HGmM06	4%MN3
D1T8HGR_01	hindgut	IFC_D1_tk8_HGmM01	CTR
D1T8HGR_02	hindgut	IFC_D1_tk8_HGmM02	CTR
D1T8HGR_03	hindgut	IFC_D1_tk8_HGmM03	CTR
D1T8HGR_04	hindgut	IFC_D1_tk8_HGmM04	CTR
D1T8HGR_05	hindgut	IFC_D1_tk8_HGmM05	CTR
D1T8HGR_06	hindgut	IFC_D1_tk8_HGmM06	CTR
D3T11HGR_01	hindgut	IFC_D3_tk11_HGmM01	4%MN3
D3T11HGR_02	hindgut	IFC_D3_tk11_HGmM02	4%MN3
D3T11HGR_03	hindgut	IFC_D3_tk11_HGmM03	4%MN3
D3T11HGR_04	hindgut	IFC_D3_tk11_HGmM04	4%MN3
D3T11HGR_05	hindgut	IFC_D3_tk11_HGmM05	4%MN3
D3T11HGR_06	hindgut	IFC_D3_tk11_HGmM06	4%MN3
D4HGR_kk1	hindgut	IFC_D3_tk11_HGmM07	4%MN3
