samplers,SlaughterDate,Timepoint,Diet,Diet_Tank,ID,BW,Length,Sex,cataract_V,cataract_H,cataract_sum,Fat_Score,Heart_Score,softliver,patchy_liver,Liver_Score,Heart_W,Liver_W,GW,SlaughYield,CF,HSI,CSI,L,a,b,Gut_Abstruc,Gut_light,Anus_ble,Gut_ble,Sca_lossScor,Bleeding,Parr_mark,Tail_sli,UJ_dform,LJ_dform,O_dform,Ryggf_d,BugF_sli,BugF_bleed,Deform
sample1,18/08/20,T0,start,,1,,13.7,M,0,0,0,1,,0,0,2.5,0.02,0.37,21.9,,,,,,,,0,0,0,0,,,,,,,,,,,0
sample2,18/08/20,T0,start,,2,36.5,14.3,F,0,0,0,1,0,0,0,3,0.05,0.41,32.13,88.02739726,1.248201649,1.12,0.14,,,,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
sample3,18/08/20,T0,start,,3,,13.8,M,0,0,0,1,0,1,0,4,0.03,0.3,25.26,,,,,,,,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0
sample4,18/08/20,T0,start,,4,26.2,13,M,0,0,0,1,0,0,0,2,0.03,0.37,22.72,86.71755725,1.19,1.41,0.11,,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
sample5,18/08/20,T0,start,,5,37,14,M,0,0,0,1,0,0,0,3.5,0.04,0.35,32.71,88.40540541,1.35,0.95,0.11,,,,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0
sample6,18/08/20,T0,start,,6,32,13.4,M,0,0,0,1,0,0,0,3,0.32,0.44,27.8,86.875,1.33,1.38,1,,,,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0
sample7,18/08/20,T0,start,,7,25.5,13,M,0,0,0,1,0,0,0,3,0.03,0.24,23.07,90.47058824,1.16,0.94,0.12,,,,,,,,2,0,0,0,0,0,0.5,1,0,0,0
sample8,18/08/20,T0,start,,8,22.6,12.2,F,0,0,0,1,0,0,0,3,0.02,0.3,19.9,88.05309735,1.24,1.33,0.09,,,,0,0,0,0,2,0,0.5,0,0,0,0,1.5,0,0,0
sample9,18/08/20,T0,start,,9,32.2,13.8,M,0,0,0,1,0,1,0,2,0.05,0.38,28.6,88.81987578,1.23,1.18,0.16,,,,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
sample10,18/08/20,T0,start,,10,25.3,12.6,M,0,0,0,1,0,0,0,3,0.03,0.368,22.25,87.94466403,1.26,1.45,0.13,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
