SampleID	Labels	notes	New_Diet	sampleType
D1T4L_1	IFC_D1_tk4_Lh01	"liver, CTR diet"	CTR	liver
D1T4L_2	IFC_D1_tk4_Lh02	"liver, CTR diet"	CTR	liver
D1T4L_3	IFC_D1_tk4_Lh03	"liver, CTR diet"	CTR	liver
D1T4L_4	IFC_D1_tk4_Lh04	"liver, CTR diet"	CTR	liver
D1T4L_5	IFC_D1_tk4_Lh05	"liver, CTR diet"	CTR	liver
D1T4L_6	IFC_D1_tk4_Lh06	"liver, CTR diet"	CTR	liver
D3T5L_1	IFC_D3_tk5_Lh01	"liver, 4% betamannan diet"	4%MN3	liver
D3T5L_2	IFC_D3_tk5_Lh02	"liver, 4% betamannan diet"	4%MN3	liver
D3T5L_3	IFC_D3_tk5_Lh03	"liver, 4% betamannan diet"	4%MN3	liver
D3T5L_4	IFC_D3_tk5_Lh04	"liver, 4% betamannan diet"	4%MN3	liver
D3T5L_5	IFC_D3_tk5_Lh05	"liver, 4% betamannan diet"	4%MN3	liver
D3T5L_6	IFC_D3_tk5_Lh06	"liver, 4% betamannan diet"	4%MN3	liver
D1T6L_1	IFC_D1_tk6_Lh01	"liver, CTR diet"	CTR	liver
D1T6L_2	IFC_D1_tk6_Lh02	"liver, CTR diet"	CTR	liver
D1T6L_3	IFC_D1_tk6_Lh03	"liver, CTR diet"	CTR	liver
D1T6L_4	IFC_D1_tk6_Lh04	"liver, CTR diet"	CTR	liver
D1T6L_5	IFC_D1_tk6_Lh05	"liver, CTR diet"	CTR	liver
D1T6L_6	IFC_D1_tk6_Lh06	"liver, CTR diet"	CTR	liver
D3T7L_1	IFC_D3_tk7_Lh01	"liver, 4% betamannan diet"	4%MN3	liver
D3T7L_2	IFC_D3_tk7_Lh02	"liver, 4% betamannan diet"	4%MN3	liver
D3T7L_3	IFC_D3_tk7_Lh03	"liver, 4% betamannan diet"	4%MN3	liver
D3T7L_4	IFC_D3_tk7_Lh04	"liver, 4% betamannan diet"	4%MN3	liver
D3T7L_5	IFC_D3_tk7_Lh05	"liver, 4% betamannan diet"	4%MN3	liver
D3T7L_6	IFC_D3_tk7_Lh06	"liver, 4% betamannan diet"	4%MN3	liver
D1T8L_1	IFC_D1_tk8_Lh01	"liver, CTR diet"	CTR	liver
D1T8L_2	IFC_D1_tk8_Lh02	"liver, CTR diet"	CTR	liver
D1T8L_3	IFC_D1_tk8_Lh03	"liver, CTR diet"	CTR	liver
D1T8L_4	IFC_D1_tk8_Lh04	"liver, CTR diet"	CTR	liver
D1T8L_5	IFC_D1_tk8_Lh05	"liver, CTR diet"	CTR	liver
